ESPEDIENTEA /EXPEDIENTE|LOTE |ZERBITZUA|SERVICIO|KONTRATU MOTA /TIPO CONTRATO|PROZEDIURA /PROCEDIMIENTO|OINARRIZKO AURREKONTUA / IMPORTE LICITACION (SIN IVA)|OINARRIZKO AURREKONTUA / IMPORTE LICITACION (CON IVA)|ZENBATEKOAREN UNITATEA|KONTRATISTA / CONTRATISTA|KONTRATU SINADURA / FIRMA DE CONTRATO|IRAUPENA / DURACION|ADJUDIKAZIOAREN ZENBATEKOA / IMPORTE ADJUDICACIÓN (SIN IVA)|ADJUDIKAZIOAREN ZENBATEKOA / IMPORTE ADJUDICACIÓN  (CON IVA)|KONTRATU AMAIERA /CONTRATO VENCIDO|LUZAPENAK (URTEAK) / PRORROGA/AÑOS|SAILA / DEPARTAMENTO|OHARRAK / OBSERVACIONES|FIN PRORROGA|PREAVISO 1º PRORROGA ANTES DEL |PREAVISO 2º PRORROGA ANTES DEL |PREAVISO 3º PRORROGA ANTES DEL |ARTXIBO KUTXA / CAJA ARCHIVO||
V-05/14||KUADRILLATEGI, PASAIAKO GAZTEEN HIZKUNTZA OHITURETAN ERAGITEKO EGITASMOA|KUADRILLATEGI, PROYECTO PARA INCIDIR EN LOS HÁBITOS LINGÜISTICOS DE LOS JOVENES DE PASAIA|SERVICIO|Abierto|10.270,00||por grupo|TTAKUN KULTUR ELKARTEA|2014/11/17|2 AÑOS + 2 PRORROGAS / ANUALES |11.497,40||SI||EUSKARA||||||PAZ-44||
V-04/14||PASAIAKO UDALEKO HAUR ESKOLA|ESCUELA MUNICIPAL INFANTIL DE PASAIA|GESTIÓN|Abierto|19.703,75|||LILITEGIA S.L.|2014/09/04|3 AÑOS+3 PRORROGAS ANUALES|19.703,75||SI||KULTURA||2020/08/31||||PAZ-43||
OM-02/14||TRINTXERPEKO HOCKEY ETA FUTBOL ZELAIKO BELAR ARTIFIZIALA BERRITZEA|RENOVACIÓN DE LA HIERBA ARTIFICIAL DEL CAMPO  DE HOCKEY Y FUTBOL DE TRINTXERPE|OBRA|Negociado sin publicidad|115.392,48|139.624,90||FIELDTURF POLIGRAS S.A|2014/01/13|4 SEMANAS||138.183,33|SI||||||||PAZ-44||
V-10/15||UDAL GAZTELEKUEN KONTRATAZIOA |GAZTELEKUS MUNICIPALES|SERVICIO|MENOR||||KANTAURI LUDIKO ELKARTEA -ASOCIACION LUDICA KANTAURI ELKARTEA|2015/07/29|Otros|5.719,39||SI||GAZTERIA|"Iraupena: Desde 1-09-2015 hasta que comience a prestar servicio el ajudicatorio del procedimineto abierto
"|||||PAZ-44||
V-02/14||UDAL ZERGAK IKUSKATZEKO LAGUNTZA TEKNIKOA|ASISTENCIA TÉCNICA PARA LA INSPECCIÓN DE LOS TRIBUTOS DE CARÁCTER MUNICIPAL|SERVICIO|Abierto||30,00||COORDINADORA DE GESTION DE INGRESOS S.A.|2014/10/03|2 AÑOS + 2 PRORROGAS / ANUALES ||20,00|SI||ERRENTAK|IMPORTE LICITACIÓN: Por exp., 60% de los cobros puntuales, 30% de las cantidades de actos tributarios aislados. IMPORTE ADJUDICACION:  Por exp., 40% de los cobros puntuales, 20% de las cantidades de actos tributarios aislados|||||PAZ-45||
|Lote 1|PASAI ANTXOKO IBAIONDO FRONTOIKO EDARITEGIRAKO ALTZARIAK ETA ETXE TRESNAK HORNITZEA|SUMINISTRO DE MOBILIARIO Y ELECTRODOMÉSTICOS EN EL AMBIGÚ DEL FRONTÓN IBAIONDO DE PASAI ANTXO|SUMINISTRO|Abierto|39.038,84|47.237,00||HOSTELBERRI, S.L.|2015/12/25|1 MES||30.254,84|SI||HIRIGINTZA||||||||
|Lote 2|PASAI ANTXOKO IBAIONDO FRONTOIKO EDARITEGIRAKO ALTZARIAK ETA ETXE TRESNAK HORNITZEA|SUMINISTRO DE MOBILIARIO Y ELECTRODOMÉSTICOS EN EL AMBIGÚ DEL FRONTÓN IBAIONDO DE PASAI ANTXO|SUMINISTRO|Abierto|16.850,26|20.388,82||José Javier Jimeno Goicoechea|2015/12/30|1 MES  ||14.912,77|SI||HIRIGINTZA||||||||
OM-01/15||PASAI DONIBANEKO J.J. OTAEGI PLAZAKO ESKOLA OIHAN ESTALKIA BERRITZEKO LANAK|RENOVACIÓN DE LA CUBIERTA DEL ANTIGUO EDIFICIO DE LAS ESCUELAS J.J. OTAEI DE DONIBANE|OBRA|MENOR||||ARRANBIL ERAIKUNTZAK S.L.|2015/07/13|Otros||52.984,27|SI||ZERBITZUAK|Hasta finales de septiembre del 2015|||||PAZ-44||
OM-2/15||TRINTXERPEKO AZOKAKO IGOGAILU BERRIA JARTZEKO OBRA|OBRA DE INSTALACIÓN DE NUEVO ASCENSOR EN EL MERCADO DE TRINTXERPE|OBRA|MENOR||||ASTIARAN S.L.|2015/10/26|1 MES|43.080,00|52.126,80|SI||ZERBITZUAK||||||PAZ- 47||
V-12/15||ALBOKO ZAMADUN EDUKIONTZIAK BILTZEKO IBILGAILU TRINKOTZAILEA EROSTEA|ADQUISICION DE VEHÍCULO COMPACTADOR PARA RECOGIDA DE CONTENEDORES DE R.S.U. DE CARGA LATERAL|SUMINISTRO|Abierto|77.000,00|93.170,00||ENVIRO RENT XXI, S.L|2015/12/01|30 Días naturales||89.540,00|SI||ZERBITZUAK||||||PAZ-47||
