|ESPEDIENTEA /EXPEDIENTE|ZERBITZUA|SERVICIO|KONTRATU MOTA /TIPO CONTRATO|PROZEDIURA /PROCEDIMIENTO|KONTRATISTA / CONTRATISTA|KONTRATU SINADURA / FIRMA DE CONTRATO|IRAUPENA / DURACION|ADJUDIKAZIOAREN ZENBATEKOA / IMPORTE ADJUDICACIÓN (SIN IVA)|ADJUDIKAZIOAREN ZENBATEKOA / IMPORTE ADJUDICACIÓN  (CON IVA)|KONTRATU AMAIERA /CONTRATO VENCIDO|LUZAPENAK (URTEAK) / PRORROGA/AÑOS|SAILA / DEPARTAMENTO|OHARRAK / OBSERVACIONES|||||
|V-10/15|UDAL GAZTELEKUEN KONTRATAZIOA |GAZTELEKUS MUNICIPALES|SERVICIO|MENOR|KANTAURI LUDIKO ELKARTEA -ASOCIACION LUDICA KANTAURI ELKARTEA|2015/07/29|Desde 1-09-2015 hasta que comience a prestar servicio el ajudicatorio del procedimineto abierto|5.719,39||SI||GAZTERIA||||||PAZ-44
|OM-01/15|PASAI DONIBANEKO J.J. OTAEGI PLAZAKO ESKOLA OIHAN ESTALKIA BERRITZEKO LANAK|RENOVACIÓN DE LA CUBIERTA DEL ANTIGUO EDIFICIO DE LAS ESCUELAS J.J. OTAEI DE DONIBANE|OBRA|MENOR|ARRANBIL ERAIKUNTZAK S.L.|2015/07/13|Hasta finales de septiembre del 2015||52.984,27|SI||ZERBITZUAK||||||PAZ-44
|OM-2/15|TRINTXERPEKO AZOKAKO IGOGAILU BERRIA JARTZEKO OBRA|OBRA DE INSTALACIÓN DE NUEVO ASCENSOR EN EL MERCADO DE TRINTXERPE|OBRA|MENOR|ASTIARAN S.L.|2015/10/26|1 MES|43.080,00|52.126,80|SI||ZERBITZUAK||||||PAZ- 47
|V-05/15|SU ARTIFIZIALAK 2015|FUEGOS ARTIFICIALES 2015|SUMINISTRO|MENOR|PIROTECNIA VALECEA-PIR S.L.|2015/06/17|1 DÍA (31 DE JULIO 2017)||3.000,00|SI||FESTAK||||||PAZ-47
|V-18/15|HERRITARREN ARRETARAKO ZERBITZUA ABIARAZTEKO ADMINISTAZIO PROZEDUREN ESKULIBURUA EGITEKO ZERBITZUA|SERVICIO PARA LA REALIZACIÓN DEL MANUAL DE PROCEDIMIENTO ADMINISTRATIVOS PARA LA PUESTA EN MARCHA DEL SERVICIO DE ATENCIÓN CIUDADANA|SERVICIO|MENOR|OTXANDIO & TEAM CONSULTING S.L.|2015/11/26|9 meses|17.999,99|21779,99|SI||PERTSONALA||||||PAZ-48
|V-02/16|AZTIKER ENPRESAK LANDUTAKO LAU AGIRIEN ITZULPENA|TRADUCCIÓN DE CUATRO DOCUMENTOS REMITIDOS POR LA EMPRESA AZTIKER|SERVICIO|MENOR|BITEZ|2016/01/27|11 DÍAS||1.972,11|SI||||||||PAZ-49
|V-06/16|ANDONAEGI JAUREGIKO ETA TRINTXERPEKO ALKATEORDETZAKO GARBIKETA ZERBITZUA|SERVICIO DE LIMPIEZA DEL PALACIO ANDONAEGI Y DE LA TENENCIA ALCALDIA DE TRINTXERPE|SERVICIO|MENOR|LIMPIEZAS TXINGUDI 2001 S.L.|2016/05/10|Hasta finales del 2016|1.318,15|1.594,96|SI||ZERBITZUAK||||||PAZ-49
|V-27/16|HAZ BULEGOTARAKO ALTZARIAK|MOBILIARIO DE LAS OFICINAS DEL SAC|SUMINISTRO|MENOR|BIGARA EQUIPAMIENTO DE OFICINA, S.L.|2016/12/27||15.770,75|19.081,61|SI||IDAZKARITZA||||||PAZ-54
|OM-05/16|TRINTXERPE, AZKUENEKO BIRIBILGUNEAREN BERRURBANIZAZIO OBRAK|OBRAS DE REURBANIZACIÓN DE LA ROTONDA DE AZKUENE EN TRINTXERPE|OBRA|MENOR|TEC-NATURA|128-09-2016|2 meses|45.668,88|55.259,34|SI||ZERBITZUAK||||||PAZ-52
|V-07/16|SU ARTIFIZIALAK 2016|FUEGOS ARTIFICIALES 2016|SUMINISTRO|MENOR|PIROTECNIA VALECEA-PIR S.L.|2016/06/02|1 DÍA (31 DE JULIO 2017)||3.000,00|SI||FESTAK||||||PAZ-53
|V-01/17|FOTOKOPIAGAILUEN EROSKETA|COMPRA DE FOTOCOPIADORAS|SUMINISTRO|MENOR|2008 MAQUELSA GIPUZKOA S.L.|2017/05/07||12.905,88|15.616,11|SI||INFORMATIKA||||||PAZ-56
|V-12/17|FORMAKUNTZA: BIZI GAREN GARAIKO ERREALITATERA EGOKITUTAKO ANTOLAKUNTZA ETA FUNTZIONAMENDUA DISEINATZEA|FORMACIÓN: DISEÑO DE UNA ORGANIZACIÓN Y FUNCIONAMIENTO CORRESPONDIENTES A LA REALIDAD DEL TIEMPO EN QUE VIVIMOS|SERVICIO|MENOR|OTXANDIO & TEAM CONSULTING S.L.|2017/05/05||7.000,00||SI|10 SESIONES DE 4 HORAS|PERTSONALA||||||PAZ-57A
|V-08/17|SU ARTIFIZIALAK 2017|FUEGOS ARTIFICIALES 2017|SUMINISTRO|MENOR|CABALLER FX- GLOBAL FOC, S.L.|2017/05/31|1 DÍA (31 DE JULIO 2017)||3.000,00|SI||FESTAK||||||PAZ-57A
